# TIPO,LOGRADOURO,BAIRRO,CIDADE
RUA,ALBERTO DELPINO,TUPI A,BELO HORIZONTE
RUA,ALBERTO FERREIRA FONTES,GOIANIA,BELO HORIZONTE
RUA,ALBERTO GOMES DA FONSECA,XODO MARIZE,BELO HORIZONTE
RUA,MAURICIO PERILLO,JAQUELINE,BELO HORIZONTE
PRACA,PROFESSOR ALBERTO MAZZONI,COLEGIO BATISTA,BELO HORIZONTE
RUA,ALBERTO NEPOMUCENO,ESTRELA DALVA,BELO HORIZONTE
RUA,ALBERTO RANGEL,CAMARGOS,BELO HORIZONTE
RUA,ALBERT SABIN,CASTELO,BELO HORIZONTE
PRACA,ALBERTO TEIXEIRA DOS SANTOS,ESTORIL,BELO HORIZONTE
RUA,ALBERTO TROPIA LOPES,MINEIRAO,BELO HORIZONTE
RUA,ALBINA,JAQUELINE,BELO HORIZONTE
RUA,ALBINO DE SOUZA,HORTO FLORESTAL,BELO HORIZONTE
BECO,ALBITA,CRUZEIRO,BELO HORIZONTE
RUA,ALBUQUERQUE MARANHAO,CAMPO ALEGRE,BELO HORIZONTE
RUA,ALCANTARA,NOVA GRANADA,BELO HORIZONTE
RUA,DOS ALCATRAZES,JARDIM ATLANTICO,BELO HORIZONTE
RUA,ALCEU AMOROSO LIMA,MINEIRAO,BELO HORIZONTE
RUA,ALCIDES FERREIRA,SANTA CRUZ,BELO HORIZONTE
RUA,ALCIDES FERREIRA GUIMARAES,CONJUNTO TAQUARIL,BELO HORIZONTE
RUA,ALCIDES GONCALVES,CAMARGOS,BELO HORIZONTE
RUA,ALCIDES LINS,VENDA NOVA,BELO HORIZONTE
RUA,ALCIDES LOBO,JOAO PINHEIRO,BELO HORIZONTE
RUA,ALCIDES PEREIRA DOS SANTOS,MANTIQUEIRA,BELO HORIZONTE
RUA,ALCIDES PEREIRA LIMA,MANGABEIRAS,BELO HORIZONTE
RUA,ALCIDES POLICARPO,MINASCAIXA,BELO HORIZONTE
RUA,ALCIDES ROMUALDO DA SILVA,CAICARAS,BELO HORIZONTE
RUA,ALCIDES SALLES FILHO,GARCAS,BELO HORIZONTE
RUA,ALCINA LIMA DRUMOND,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,ALCINDO GONCALVES COTTA,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,ALCINDO GUANABARA,CAMPO ALEGRE,BELO HORIZONTE
RUA,ALCINDO VIEIRA,BARREIRO,BELO HORIZONTE
RUA,ALCIONE,NOVA CINTRA,BELO HORIZONTE
RUA,ALCOBACA,SAO FRANCISCO,BELO HORIZONTE
RUA,ALDAIR SIQUEIRA DE QUEIROZ,SANTA ROSA,BELO HORIZONTE
RUA,DANTAS,NOVA GRANADA,BELO HORIZONTE
RUA,ALDINO CARLOS ROCHA,NOVO ITAMARATI,BELO HORIZONTE
RUA,ALDO CASILLO,MANGABEIRAS,BELO HORIZONTE
RUA,ALDO DE SA BRITO,LAGOA,BELO HORIZONTE
RUA,ALECRIM,JAQUELINE,BELO HORIZONTE
BECO,ALEGRE,SALGADO FILHO,BELO HORIZONTE
RUA,ALEGRETE,SAGRADA FAMILIA,BELO HORIZONTE
RUA,ALEGRIA,PARAISO,BELO HORIZONTE
BECO,DA ALEGRIA,SAO JORGE,BELO HORIZONTE
BECO,ALEGRIA,VENTOSA,BELO HORIZONTE
BECO,ALEGRIA,CORACAO DE JESUS,BELO HORIZONTE
RUA,ALEIXANOR ALVES PEREIRA,MINEIRAO,BELO HORIZONTE
RUA,ALEIXO LOURENCO DE GOUVEIA,CARDOSO (BARREIRO),BELO HORIZONTE
RUA,ALEM PARAIBA,LAGOINHA,BELO HORIZONTE
BECO,DOS ALEMAES,BETANIA,BELO HORIZONTE
RUA,ALENCAR FERREIRA DE CARVALHO,SANTA INES,BELO HORIZONTE
RUA,ALENCAR PORTELA SENRA,CONJUNTO TUNEL IBIRITE (BARREIRO),BELO HORIZONTE
RUA,ALENTEJO,SAO FRANCISCO,BELO HORIZONTE
RUA,ALESSANDRA SALUM CADAR,BURITIS,BELO HORIZONTE
